,id,nombre,votos,periodo,partido,bancada,dist_electoral,condicion,website
60,1099,María de los Milagros Jackeline Jáuregui Martínez de Aguayo,"68,003",Parlamentario 2021 - 2026,Renovación Popular,RENOVACIÓN POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MariaJauregui/
61,1049,José Enrique Jeri Oré,"11,654",Parlamentario 2021 - 2026,Partido Democrático Somos Perú,SOMOS PERÚ,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JoseJeri/
62,1065,David Julio Jiménez Heredia,"7,278",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Junin,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/DavidJimenez/
63,1107,Heidy Lisbeth Juárez Calle,"19,153",Parlamentario 2021 - 2026,Alianza para el Progreso del Perú,PODEMOS PERÚ,Piura,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/HeydiJuarez/
64,1059,Carmen Patricia Juárez Gallegos,"40,125",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/CarmenJuarez/
65,1083,Elva Edhit Julón Irigoín,"9,080",Parlamentario 2021 - 2026,Alianza para el Progreso del Perú,ALIANZA PARA EL PROGRESO,Cajamarca,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/ElvaJulon/
66,1087,Luis Roberto Kamiche Morante,"6,035",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,ALIANZA PARA EL PROGRESO,La libertad,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/LuisKamiche/
67,1162,Nieves Esmeralda Limachi Quispe,"3,125",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,JUNTOS POR EL PERÚ - VOCES DEL PUEBLO,Tacna,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/NievesLimachi/
68,1066,Juan Carlos Martín Lizarzaburu Lizarzaburu,"1,773",Parlamentario 2021 - 2026,Fuerza Popular,ALIANZA PARA EL PROGRESO,Peruanos Residentes en el Extranjero,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JuanLizarzaburu/
69,1120,Jeny Luz López Morales,"4,576",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Ucayali,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JenyLopez/
70,1114,Ilich Fredy López Ureña,"17,727",Parlamentario 2021 - 2026,Acción Popular,ACCIÓN POPULAR,Junin,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/IlichLopez/
71,1055,José León Luna Gálvez,"91,055",Parlamentario 2021 - 2026,Podemos Perú,PODEMOS PERÚ,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JoseLuna/
72,1157,Ruth Luque Ibarra,"12,049",Parlamentario 2021 - 2026,Juntos por el Perú,BLOQUE DEMOCRÁTICO POPULAR,Cusco,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/RuthLuque/
73,1097,George Edward Málaga Trillo,"67,044",Parlamentario 2021 - 2026,Partido Morado,NO AGRUPADO,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/GeorgeMalaga/
74,1125,Jorge Alfonso Marticorena Mendoza,"6,597",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,ALIANZA PARA EL PROGRESO,Ica,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JorgeMarticorena/
75,1138,Pedro Edwin Martínez Talavera,"16,372",Parlamentario 2021 - 2026,Acción Popular,NO AGRUPADO,Arequipa,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/PedroMartinez/
76,1081,Elizabeth Sara Medina Hermosilla,"11,300",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BLOQUE MAGISTERIAL DE CONCERTACIÓN NACIONAL,Huanuco,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/ElizabethMedina/
77,1088,Esdras Ricardo Medina Minaya,"15,693",Parlamentario 2021 - 2026,Renovación Popular,RENOVACIÓN POPULAR,Arequipa,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/EsdrasMedina/
78,1165,Isaac Mita Alanoca,"2,869",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Tacna,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/IsaacMita/
79,1159,Segundo Toribio Montalvo Cubas,"5,268",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Amazonas,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/SegundoMontalvo/
80,1154,Silvia María Monteza Facho,"7,171",Parlamentario 2021 - 2026,Acción Popular,ACCIÓN POPULAR,Cajamarca,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/SilviaMonteza/
81,1127,Jorge Carlos Montoya Manrique,"138,231",Parlamentario 2021 - 2026,Renovación Popular,HONOR Y DEMOCRACIA,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JorgeMontoya/
82,1124,Jorge Alberto Morante Figari,"5,548",Parlamentario 2021 - 2026,Fuerza Popular,SOMOS PERÚ,Loreto,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JorgeMorante/
83,1068,Juan Carlos Mori Celis,"8,815",Parlamentario 2021 - 2026,Acción Popular,ACCIÓN POPULAR,Loreto,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JuanMori/
84,1118,Martha Lupe Moyano Delgado,"23,260",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MarthaMoyano/
85,1039,Alejandro Muñante Barrios,"21,014",Parlamentario 2021 - 2026,Renovación Popular,RENOVACIÓN POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AlejandroMunante/
86,1048,Auristela Ana Obando Morgan,"8,914",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Callao,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AuristelaObando/
87,1074,Vivian Olivos Martínez,"7,785",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Lima Provincias,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/LeslieOlivos/
88,1168,Ariana Maybee Orué Medina,"7,871",Parlamentario 2021 - 2026,Podemos Perú,PODEMOS PERÚ,Callao,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/ArianaOrue/
89,1092,Flor Aidee Pablo Medina,"53,899",Parlamentario 2021 - 2026,Partido Morado,NO AGRUPADO,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/FlorPablo/
90,1119,Javier Rommel Padilla Romero,"6,835",Parlamentario 2021 - 2026,Renovación Popular,HONOR Y DEMOCRACIA,Lima Provincias,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JavierPadilla/
91,1093,Margot Palacios Huamán,"11,781",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,NO AGRUPADO,Ayacucho,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MargotPalacios/
92,1094,Francis Jhasmina Paredes Castro,"3,454",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PODEMOS PERÚ,Ucayali,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/FrancisParedes/
93,1070,Karol Ivett Paredes Fonseca,"4,995",Parlamentario 2021 - 2026,Acción Popular,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,San martin,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/KarolParedes/
